"","y","x","t"
"1",0,-0.0237259007447446,1
"2",0.00395191179677422,0.0395192130884396,2
"3",0.0129415354217096,0.093848160874976,3
"4",0.0156800620505548,0.0403267184087602,4
"5",0.0112645926791516,-0.0284748078348137,5
"6",0.00646497570791241,-0.0367315350545307,6
"7",0.000137159661498721,-0.0568131470873637,7
"8",0.00238990684925606,0.0226644157848586,8
"9",0.00424802126911687,0.0209710439677539,9
"10",0.000695735825113557,-0.0312748671097856,10
"11",0.00181509238950179,0.0118893966298673,11
"12",-0.00779679223442848,-0.0943037073441395,12
"13",-0.00420772509000339,0.028094118879466,13
"14",-0.00695260668465468,-0.0316565458294013,14
"15",-0.00741536385328497,-0.0115802168795898,15
"16",-0.011137897614521,-0.0446407819133784,16
"17",-0.0111478614161754,-0.0112376229349965,17
"18",-0.00845095565246171,0.0158213311862471,18
"19",-0.00858883781097693,-0.00982987457612918,19
"20",-0.00212291555080923,0.0560702943130302,20
"21",0.000414987752278697,0.0232561110514271,21
"22",0.00910959458137612,0.0873612535044502,22
"23",0.0119325019105251,0.0373385135222157,23
"24",0.00904464298068023,-0.0169459898452149,24
"25",0.0139596671879768,0.0581949624190063,25
"26",0.025123081822653,0.125593894369102,26
"27",0.0204075755961042,-0.0220320512586592,27
"28",0.0163546946462961,-0.0201210299426058,28
"29",0.0113730652591904,-0.0334614889371106,29
"30",0.00828947061730899,-0.0194628059939376,30
"31",0.006602974703342,-0.00857563268796018,31
"32",0.009352896612074,0.0341020976494466,32
"33",0.00729947344269678,-0.0111814204164124,33
"34",0.00202354436571581,-0.0454597125308122,34
"35",-0.00340954015792098,-0.0523073519392745,35
"36",-0.00618110240240229,-0.0311251211707615,36
"37",0.00422627519310394,0.0978927307295188,37
"38",0.0043950656181178,0.00591409098369029,38
"39",0.00983131592694747,0.0587575378912743,39
"40",0.0174498819954131,0.0860169280170704,40
"41",0.0183726307177292,0.0266774113349441,41
"42",0.0247533787245458,0.0821801406118519,42
"43",0.0239602118498352,0.0168217865998678,43
"44",0.0263183335739861,0.0475415431941865,44
"45",0.0227968330884371,-0.00889653613612966,45
"46",0.0246533633734652,0.0413621024285832,46
"47",0.0192758541095235,-0.0291216780314217,47
"48",0.016560095000087,-0.00788171349991385,48
"49",0.0183818199549912,0.0347774452142903,49
"50",0.0228409896189491,0.0629737772222614,50
"51",0.0262059099045773,0.0564902451878761,51
"52",0.0198727085967813,-0.0371260801660465,52
"53",0.0170091071143424,-0.00876328719709086,53
